target,value
T9,1.0000000061602528
T10,0.9613163249713809
T11,0.9999999994089933
T12,1.0000000003055272
T13,0.9915866616394078
T14,1.0000000041752868
T1,0.9904077989292343
T2,1.0358771047215574
T3,0.9045459152891095
T4,1.057979868824806
T5,0.996900241277711
T6,0.9906542034871707
T7,1.0062919982627627
T8,1.0376032637810422
T9,0.9793055524038933
T10,0.9288555119737214
T11,0.9341356593272343
T12,1.0329428575435897
T13,0.9876506339772042
T14,0.9429705433384121
T1,0.966455056944156
T2,1.0004300346442911
T3,0.9775141798996028
T4,1.0656726395336489
T5,1.01161805320088
T6,0.9507031467880542
T7,0.9958444865811971
T8,1.0522064482169609
T9,0.9596367115686004
T10,0.9137592014331986
T11,0.9515294685486141
T12,1.0092016342610215
T13,0.9775779110184869
T14,0.9622372310576213
T1,0.9534816406250386
T2,0.9974794358832652
T3,0.9250298240129942
T4,1.0962253058179423
T5,0.9436391748665338
T6,1.036242511547222
T7,1.0579639834685726
T8,1.0824658667838696
T9,0.9284742777478986
T10,0.889144585265748
T11,0.9933469348577102
T12,1.0509193833284523
T13,0.9492017949946545
T14,1.0477992841973087
T1,1.0091165475570205
T2,1.0130942153211668
T3,0.9656382357775546
T4,1.0117473850127592
T5,1.0289969497452132
T6,1.0238180439079265
T7,1.0032094724971725
T8,1.009035618663643
T9,0.9576242533535575
T10,0.9532118924329682
T11,0.9987863962664385
T12,1.0143601033840843
T13,1.0057869725975987
T14,0.9707810245050399
T1,1.0019150726011288
T2,1.002281586423077
T3,0.9885907805662744
T4,1.000117448052897
T5,0.964878254449724
T6,0.9498490941388336
T7,0.9782744368368144
T8,1.011770920584563
T9,0.9871733239546399
T10,0.9830643163649366
T11,1.0062496928191285
T12,0.9986399665776509
T13,0.9593181463184739
T14,1.0024111718665567
T1,1.0411509302285475
T2,1.0509983975517223
T3,1.078576656578865
T4,1.1194560011012
T5,1.0698024178289087
T6,0.9485268451153659
T7,1.042113037783753
T8,1.0775203380364227
T9,1.021234366447005
T10,1.0594907479834081
T11,1.0163469206953626
T12,1.0290957017780895
T13,0.9650908884422817
T14,1.0524970655147787
T1,0.9830342366767499
T2,1.039892155320218
T3,1.0480267966811403
T4,1.077832648694004
T5,1.0298671408775983
T6,0.9615986651926254
T7,1.1094756279160514
T8,1.0055688860227532
T9,0.9532938487080973
T10,1.033384084452539
T11,1.0275413504684288
T12,1.0662596227721894
T13,0.9904448558468106
T14,1.0113999747135693
T1,0.9954869297915174
T2,1.0146321512087528
T3,1.0041901102104704
T4,1.0227340859044098
T5,0.9869198382444078
T6,1.0231485085816394
T7,1.004641856562747
T8,1.019706097816285
T9,0.9658523792062432
T10,1.0018625199661222
T11,0.9833961387442667
T12,0.9987723005084395
T13,0.9492702630201679
T14,0.9726088471482697
T1,1.0026061732480098
T2,1.0417375925495642
T3,0.993747484613054
T4,1.0631944757805694
T5,1.01953981425773
T6,1.026866307839037
T7,1.0049788621556734
T8,1.0487048347319217
T9,0.9905698631435451
T10,1.0065891745163058
T11,1.016408124214221
T12,1.0069747351903449
T13,0.9867630055034284
T14,1.019201923569038
T1,0.7967044155571728
T2,0.8454365816762512
T3,0.8530749465126153
T4,0.7851461675911324
T5,0.8652774714816704
T6,0.9274232316466078
T7,0.9390250006285823
T8,0.8369652784516647
T9,0.9790929162775015
T10,0.8203186222781014
T11,0.8203735676490304
T12,0.7174568775901797
T13,1.0079583679743374
T14,0.9511112074276247
T1,0.9249803158941243
T2,0.8661335528653369
T3,0.969615616449571
T4,0.8610475196243681
T5,0.9411553506774084
T6,0.974703589220447
T7,0.9726859880294882
T8,0.9470354030436714
T9,0.8270103901572702
T10,0.9495675574574083
T11,0.9694775988085632
T12,0.8501530994996362
T13,1.0281784583711724
T14,0.9755762325751901
T1,0.903445214337006
T2,0.9035345276594272
T3,1.005879688214414
T4,0.901154470526097
T5,0.9169754733257409
T6,0.9483722634556391
T7,0.9571322062332183
