domain_type,value
Personality,0.9186288908532025
Personality,0.7843374018189861
Personality,0.6846494104784138
Personality,0.9290670112783759
Personality,0.8836221352145117
Education,0.9219860384197294
Education,0.9048648872715608
Education,0.9686472902112924
Education,0.9989844910057816
Education,0.9722117066524882
Education,0.8871263198007371
Education,0.9176167997552584
Education,0.8596006231180213
Personality,0.9165073454495744
Personality,1.0032736537850542
Personality,0.8726463609344256
Personality,0.8217739685514102
Personality,0.8723511828689503
Personality,0.6750035433671371
Education,0.9419746751155381
Education,0.8932159664042998
Education,0.9697869076850858
Education,1.0206824382354118
Education,0.9133604665641186
Education,0.9044167488350843
Education,0.8938193219604142
Education,0.8604788678463429
Personality,0.940075591398106
Personality,0.992297747654649
Personality,0.8840378143606705
Personality,0.7896442282435538
Personality,0.8725462791531731
Personality,0.680301848674016
Education,0.7554025861393183
Education,0.8060734599029586
Education,0.9621529792226657
Education,0.9532150792261209
Education,0.9519833528851096
Education,1.0151206299550508
Education,0.8941903608649183
Education,0.9216315365251739
Personality,0.9484378581563616
Personality,0.944783053754959
Personality,0.9814656309831552
Personality,0.6546959044284655
Personality,0.958543312230459
Personality,0.9417893159429707
Education,0.9488393079951938
Education,0.837944980529183
Education,1.0350638408729582
Education,0.987148510947266
Education,0.9264079852114375
Education,0.9498854370118981
Education,0.9464626038081176
Education,0.9757728966773744
Personality,0.9112732857008565
Personality,0.957109456608002
Personality,0.8154904180299816
Personality,0.7922184587095389
Personality,0.9215887214789114
Personality,0.7337241050759347
Education,0.6056909720167406
Education,0.8248864411154366
Education,0.6727404590256846
Education,0.8998236405020096
Education,0.7678677049303266
Education,0.7527503505063926
Education,0.8531226222025456
Education,0.7254747775137238
Personality,0.7519149698596381
Personality,0.887134254764578
Personality,0.7191203227087282
Personality,0.5475630689428479
Personality,0.6898865798504326
Personality,0.8255010194211844
Education,0.8293056052213859
Education,0.9466612218247141
Education,0.8970517084978686
Education,0.8369804781301289
Education,0.8077439593787807
Education,0.9148873154308989
Education,0.8901230633564889
Education,0.8766718989715048
Personality,0.8945783799831922
Personality,0.9396536899657426
Personality,0.7924459679673805
Personality,0.6935328382598489
Personality,0.8838617845023541
Personality,0.893435938714531
Education,0.82282271177095
Education,0.9198950575414411
Education,0.8515414718440967
Education,0.8681299334496051
Education,0.7484911374067901
Education,0.853507403729833
Education,0.8349960614520711
Education,0.886947865941007
Personality,0.8941547980177549
Personality,0.9373495671663028
Personality,0.7495490821623851
Personality,0.7654271433103936
Personality,0.830425435699113
Personality,0.8829867708364096
Education,0.6495247336966284
