method,facet_id,domain_id,subdomain_id,pool_count_pre,pool_count_post,selected_count,fail_lang,fail_len,warn_len,mean_pairwise_dist,min_pairwise_dist
gemma,2.2.4,2,2.2,40,40,25,0,0,0,0.7201300263404846,0.3616407513618469
gemma,2.3.1,2,2.3,41,41,25,0,0,1,0.5863922834396362,0.2035520076751709
gemma,2.3.2,2,2.3,40,40,25,0,0,0,0.6493917107582092,0.31292396783828735
gemma,2.3.3,2,2.3,41,41,25,0,0,0,0.6353269219398499,0.2192971110343933
gemma,2.3.4,2,2.3,55,55,25,0,0,0,0.6729459762573242,0.18211179971694946
gemma,3.1.1,3,3.1,41,41,25,0,0,0,0.6696282029151917,0.29317599534988403
gemma,3.1.2,3,3.1,41,41,25,0,0,0,0.5428940057754517,0.11410987377166748
gemma,3.1.3,3,3.1,41,41,25,0,0,0,0.6081844568252563,0.19628942012786865
gemma,3.1.4,3,3.1,53,53,25,0,0,0,0.6875916719436646,0.2671133279800415
gemma,3.2.1,3,3.2,41,40,25,0,0,0,0.6608371734619141,0.22161734104156494
gemma,3.2.2,3,3.2,40,40,25,0,0,0,0.6210620403289795,0.1987076997756958
gemma,3.2.3,3,3.2,41,41,25,0,0,0,0.6056841015815735,0.1984938383102417
gemma,3.2.4,3,3.2,41,40,25,0,0,0,0.6072246432304382,0.12281578779220581
gemma,3.3.1,3,3.3,40,40,25,0,0,0,0.5584115386009216,0.2723195552825928
gemma,3.3.2,3,3.3,40,40,25,0,0,0,0.5576364398002625,0.1718153953552246
gemma,3.3.3,3,3.3,41,41,25,0,0,0,0.5721339583396912,0.2604649066925049
gemma,3.3.4,3,3.3,41,41,25,0,0,0,0.48135852813720703,0.14585024118423462
gemma,4.1.1,4,4.1,47,47,25,0,0,0,0.5910539031028748,0.16330397129058838
gemma,4.1.2,4,4.1,41,41,25,0,0,0,0.6156289577484131,0.22540408372879028
gemma,4.1.3,4,4.1,40,40,25,0,0,0,0.6524718999862671,0.21995288133621216
gemma,4.1.4,4,4.1,41,41,25,0,0,0,0.4959299862384796,0.18340033292770386
gemma,4.2.1,4,4.2,41,41,25,0,0,0,0.5554324984550476,0.18087154626846313
gemma,4.2.2,4,4.2,41,41,25,0,0,0,0.6266928315162659,0.18429988622665405
gemma,4.2.3,4,4.2,40,40,25,0,0,0,0.6383503079414368,0.22736608982086182
gemma,4.2.4,4,4.2,41,41,25,0,0,0,0.6212237477302551,0.24766170978546143
gemma,4.2.5,4,4.2,41,41,25,0,0,0,0.6690025329589844,0.11796760559082031
gemma,4.3.1,4,4.3,40,40,25,0,0,0,0.6997605562210083,0.22508299350738525
gemma,4.3.2,4,4.3,48,48,25,0,0,0,0.639506995677948,0.24106961488723755
gemma,4.3.3,4,4.3,48,46,25,0,0,0,0.6819889545440674,0.14704889059066772
gemma,4.3.4,4,4.3,41,41,25,0,0,0,0.7092012763023376,0.34678375720977783
gemma,4.3.5,4,4.3,41,41,25,0,0,0,0.7085072994232178,0.2981707453727722
gemma,5.1.1,5,5.1,41,41,25,0,0,0,0.5623753666877747,0.21151435375213623
gemma,5.1.2,5,5.1,41,41,25,0,0,0,0.5681933760643005,0.20077145099639893
gemma,5.1.3,5,5.1,41,41,25,0,0,0,0.5115134119987488,0.22491568326950073
gemma,5.1.4,5,5.1,48,48,25,0,0,3,0.48661014437675476,0.16623646020889282
gemma,5.1.5,5,5.1,41,41,25,0,0,0,0.6306100487709045,0.20800244808197021
gemma,5.2.1,5,5.2,41,41,25,0,0,0,0.5703383088111877,0.1534469723701477
gemma,5.2.2,5,5.2,41,41,25,0,0,0,0.6047976613044739,0.20779085159301758
gemma,5.2.3,5,5.2,41,41,25,0,0,0,0.4721265733242035,0.1766400933265686
gemma,5.2.4,5,5.2,55,55,25,0,0,0,0.5864665508270264,0.2093154788017273
gemma,5.3.1,5,5.3,53,53,25,0,0,0,0.49482980370521545,0.16929179430007935
gemma,5.3.2,5,5.3,41,41,25,0,0,0,0.5447930097579956,0.2329670786857605
gemma,5.3.3,5,5.3,40,40,25,0,0,0,0.5649633407592773,0.2497401237487793
gemma,5.3.4,5,5.3,41,41,25,0,0,0,0.5345907807350159,0.1766001582145691
gemma,6.1.1,6,6.1,41,41,25,0,0,0,0.5383031368255615,0.24360895156860352
gemma,6.1.2,6,6.1,41,40,25,0,0,0,0.6266940832138062,0.15410786867141724
gemma,6.1.3,6,6.1,40,40,25,0,0,0,0.5418893694877625,0.30689841508865356
gemma,6.2.1,6,6.2,41,41,25,0,0,0,0.44895127415657043,0.15596634149551392
gemma,6.2.2,6,6.2,40,39,25,0,0,0,0.542992115020752,0.24784833192825317
gemma,6.2.3,6,6.2,41,39,25,0,0,0,0.5137494802474976,0.27744317054748535
gemma,6.2.4,6,6.2,55,51,25,0,0,0,0.6117457747459412,0.07582324743270874
gemma,6.2.5,6,6.2,41,41,25,0,0,0,0.5683841705322266,0.18568569421768188
gemma,6.3.1,6,6.3,41,41,25,0,0,0,0.6093618273735046,0.31122255325317383
gemma,6.3.2,6,6.3,41,41,25,0,0,0,0.5459834933280945,0.1952260136604309
gemma,6.3.3,6,6.3,41,41,25,0,0,0,0.6371667981147766,0.24892020225524902
gemma,6.3.4,6,6.3,41,41,25,0,0,0,0.5832818746566772,0.27180588245391846
gemma,7.1.1,7,7.1,41,41,25,0,0,0,0.5262720584869385,0.19326680898666382
gemma,7.1.2,7,7.1,41,41,25,0,0,1,0.5575793385505676,0.18416011333465576
gemma,7.1.3,7,7.1,41,41,25,0,0,0,0.5433443188667297,0.24687039852142334
gemma,7.1.4,7,7.1,41,41,25,0,0,0,0.5051677227020264,0.20852845907211304
gemma,7.2.1,7,7.2,41,40,25,0,0,0,0.6538028120994568,0.3294851779937744
gemma,7.2.2,7,7.2,40,40,25,0,0,0,0.5364369750022888,0.1881994605064392
gemma,7.2.3,7,7.2,49,49,25,0,0,0,0.6034836769104004,0.21863818168640137
gemma,7.2.4,7,7.2,41,41,25,0,0,0,0.6863795518875122,0.27004075050354004
gemma,7.3.1,7,7.3,41,41,25,0,0,0,0.4865822494029999,0.23546260595321655
gemma,7.3.2,7,7.3,41,41,25,0,0,0,0.5967162847518921,0.11517071723937988
